CODCLI,CODART,Cliente,Pais,Comunidad autÃ³noma,Provincia,Zona,ArtÃ­culo,Serie,Nfactura,Fecha,Unidades,Precio,Costo,status,name_complete
3,1,CARLOS HUMBERTO GARCIA MERCADO,NICARAGUA,CARAZO,CARAZO,Centro,Bicicleta carrera,S2,1,41279,8,"551,02","418,78",Pending,José Manuel Rodríguez
3,2,CARLOS HUMBERTO GARCIA MERCADO,NICARAGUA,CARAZO,CARAZO,Centro,Bicicleta mountain infantil,S2,2,41280,22,"116,99","98,27",Shipped,José Manuel Rodríguez
3,5,CARLOS HUMBERTO GARCIA MERCADO,NICARAGUA,CARAZO,CARAZO,Centro,Bicicleta carrera mod. B,S2,3,41281,22,"494,99","391,04",Pending,José Manuel Rodríguez
3,7,CARLOS HUMBERTO GARCIA MERCADO,NICARAGUA,CARAZO,CARAZO,Centro,Mountain bike,S2,4,41282,22,"53,99","45,35",Returned,José Manuel Rodríguez
3,11,CARLOS HUMBERTO GARCIA MERCADO,NICARAGUA,CARAZO,CARAZO,Centro,Bicicleta carrera modelo C,S2,5,41283,22,"539,99","426,59",Delivered,José Manuel Rodríguez
3,10,CARLOS HUMBERTO GARCIA MERCADO,NICARAGUA,CARAZO,CARAZO,Centro,Monociclo,S2,6,41284,6,"215,99","183,59",Delivered,José Manuel Rodríguez
3,12,CARLOS HUMBERTO GARCIA MERCADO,NICARAGUA,CARAZO,CARAZO,Centro,Asiento para bicicleta velocidad,S2,7,41285,8,"42,8","36,38",Confirmed,José Manuel Rodríguez
3,13,CARLOS HUMBERTO GARCIA MERCADO,NICARAGUA,CARAZO,CARAZO,Centro,Casco bicicleta,S2,8,41286,32,"43,19","36,28",Confirmed,José Manuel Rodríguez
3,15,CARLOS HUMBERTO GARCIA MERCADO,NICARAGUA,CARAZO,CARAZO,Centro,Gafas,S2,9,41287,32,"48,81",41,Delivered,José Manuel Rodríguez
3,9,CARLOS HUMBERTO GARCIA MERCADO,NICARAGUA,CARAZO,CARAZO,Centro,Bicicleta tres asientos,S2,10,41288,6,"404,99","344,24",Confirmed,José Manuel Rodríguez
4,1,MERCEDES DEL SOCORRO MIRANDA SILVA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta carrera,S2,11,41289,14,"581,64","581,64",Shipped,Ana Patricia Martínez
